number,value,datetime_start,datetime_complete,duration,params_criterion,params_lags,params_lags_past_covariates,params_min_samples_leaf,params_min_samples_split,params_n_estimators,params_usar_max_depth,state
143,52687.06122584893,2025-11-10 17:40:51.452520,2025-11-10 17:45:26.611306,0 days 00:04:35.158786,friedman_mse,17,1,1,11,895,False,COMPLETE
144,52526.125856743834,2025-11-10 17:45:26.657328,2025-11-10 17:49:04.707170,0 days 00:03:38.049842,friedman_mse,17,1,2,10,701,False,COMPLETE
145,52724.85491259898,2025-11-10 17:49:04.718792,2025-11-10 17:52:42.469851,0 days 00:03:37.751059,friedman_mse,16,1,1,11,706,False,COMPLETE
146,52550.49552271188,2025-11-10 17:52:42.481015,2025-11-10 17:55:34.879228,0 days 00:02:52.398213,friedman_mse,17,2,2,10,570,False,COMPLETE
147,52735.92380052219,2025-11-10 17:55:34.890464,2025-11-10 17:58:48.528187,0 days 00:03:13.637723,friedman_mse,20,1,2,11,634,False,COMPLETE
148,61899.21460013759,2025-11-10 17:58:48.646042,2025-11-10 18:03:20.535405,0 days 00:04:31.889363,friedman_mse,16,3,1,77,914,False,COMPLETE
149,52673.0475372213,2025-11-10 18:03:20.547546,2025-11-10 18:08:16.594776,0 days 00:04:56.047230,friedman_mse,18,1,2,11,1000,False,COMPLETE
150,52978.67388341089,2025-11-10 18:08:16.605998,2025-11-10 18:11:55.311184,0 days 00:03:38.705186,friedman_mse,19,3,2,12,710,False,COMPLETE
151,52536.59835751875,2025-11-10 18:11:55.323573,2025-11-10 18:16:06.635255,0 days 00:04:11.311682,friedman_mse,17,2,2,10,852,False,COMPLETE
152,52539.12955018709,2025-11-10 18:16:06.647231,2025-11-10 18:20:28.656994,0 days 00:04:22.009763,friedman_mse,17,2,1,10,876,False,COMPLETE
153,52578.31874466869,2025-11-10 18:20:28.669211,2025-11-10 18:24:49.402506,0 days 00:04:20.733295,friedman_mse,18,2,1,10,874,False,COMPLETE
154,52717.191959305535,2025-11-10 18:24:49.414150,2025-11-10 18:28:02.377838,0 days 00:03:12.963688,friedman_mse,16,1,1,11,631,False,COMPLETE
155,52584.42368668206,2025-11-10 18:28:02.389226,2025-11-10 18:32:35.920562,0 days 00:04:33.531336,friedman_mse,17,3,2,10,913,False,COMPLETE
156,52509.44345275602,2025-11-10 18:32:35.931861,2025-11-10 18:35:21.043357,0 days 00:02:45.111496,friedman_mse,17,1,1,10,518,False,COMPLETE
157,55486.0538363167,2025-11-10 18:35:21.054888,2025-11-10 18:38:04.813939,0 days 00:02:43.759051,friedman_mse,19,1,1,22,504,False,COMPLETE
158,52700.70542265223,2025-11-10 18:38:04.826279,2025-11-10 18:41:09.462310,0 days 00:03:04.636031,friedman_mse,16,1,1,11,586,False,COMPLETE
159,52948.93638418985,2025-11-10 18:41:09.476207,2025-11-10 18:44:49.176580,0 days 00:03:39.700373,friedman_mse,18,1,2,12,725,False,COMPLETE
160,59634.47322472548,2025-11-10 18:44:49.208987,2025-11-10 18:48:07.664875,0 days 00:03:18.455888,friedman_mse,16,2,16,11,658,False,COMPLETE
